i-traits	type	date	angle	MLP
T1-ddT.91	HSI	T1	side	0.4384
T1-ddT.92	HSI	T1	side	0.3822
T1-ddT.93	HSI	T1	side	0.5086
T1-ddT.94	HSI	T1	side	0.4718
T1-ddT.95	HSI	T1	side	0.4638
T1-ddT.96	HSI	T1	side	0.5952
T1-ddT.97	HSI	T1	side	0.3894
T1-ddT.98	HSI	T1	side	0.469
T1-ddT.99	HSI	T1	side	0.5076
T1-ddT.100	HSI	T1	side	0.5296
T1-ddT.101	HSI	T1	side	0.3974
T1-ddT.102	HSI	T1	side	0.5062
T1-ddT.103	HSI	T1	side	0.4908
T1-ddT.104	HSI	T1	side	0.4272
T1-ddT.105	HSI	T1	side	0.4878
T1-ddT.106	HSI	T1	side	0.4008
T1-ddT.107	HSI	T1	side	0.4172
T1-ddT.108	HSI	T1	side	0.4728
T1-ddT.109	HSI	T1	side	0.4604
T1-ddT.110	HSI	T1	side	0.3914
T1-ddT.111	HSI	T1	side	0.403
T1-ddT.112	HSI	T1	side	0.4616
T1-ddT.113	HSI	T1	side	0.3944
T1-ddT.114	HSI	T1	side	0.3574
T1-ddT.115	HSI	T1	side	0.4858
T1-ddT.116	HSI	T1	side	0.446
T1-ddT.117	HSI	T1	side	0.434
T1-ddT.118	HSI	T1	side	0.4212
T1-ddT.119	HSI	T1	side	0.5212
T1-ddT.120	HSI	T1	side	0.4108
T1-ddT.121	HSI	T1	side	0.4934
T1-ddT.122	HSI	T1	side	0.4038
T1-ddT.123	HSI	T1	side	0.436
T1-ddT.124	HSI	T1	side	0.3996
T1-ddT.125	HSI	T1	side	0.3772
T1-ddT.126	HSI	T1	side	0.4784
T1-ddT.127	HSI	T1	side	0.43
T1-ddT.128	HSI	T1	side	0.4202
T1-ddT.129	HSI	T1	side	0.4096
T1-ddT.130	HSI	T1	side	0.444
T1-ddT.131	HSI	T1	side	0.4066
T1-ddT.132	HSI	T1	side	0.4196
T1-ddT.133	HSI	T1	side	0.3772
T1-ddT.134	HSI	T1	side	0.5838
T1-ddT.135	HSI	T1	side	0.4924
T1-ddT.136	HSI	T1	side	0.469
T1-ddT.137	HSI	T1	side	0.4912
T1-ddT.138	HSI	T1	side	0.4284
T1-ddT.139	HSI	T1	side	0.5612
T1-ddT.140	HSI	T1	side	0.6668
T1-ddT.141	HSI	T1	side	0.4032
T1-ddT.142	HSI	T1	side	0.3676
T1-ddT.143	HSI	T1	side	0.3788
T1-ddT.144	HSI	T1	side	0.4216
T1-ddT.145	HSI	T1	side	0.4212
T1-ddT.146	HSI	T1	side	0.411
T1-ddT.147	HSI	T1	side	0.4294
T1-ddT.148	HSI	T1	side	0.4638
T1-ddT.149	HSI	T1	side	0.4534
T1-ddT.150	HSI	T1	side	0.4138
T1-ddT.151	HSI	T1	side	0.4142
T1-ddT.152	HSI	T1	side	0.4382
T1-ddT.153	HSI	T1	side	0.4106
T1-ddT.154	HSI	T1	side	0.4784
T1-ddT.155	HSI	T1	side	0.4532
T1-ddT.156	HSI	T1	side	0.3942
T1-ddT.157	HSI	T1	side	0.3884
T1-ddT.158	HSI	T1	side	0.568
T1-ddT.159	HSI	T1	side	0.455
T1-ddT.160	HSI	T1	side	0.411
T1-ddT.161	HSI	T1	side	0.5302
T1-ddT.162	HSI	T1	side	0.4082
T1-ddT.163	HSI	T1	side	0.4284
T1-ddT.164	HSI	T1	side	0.6598
T1-ddT.165	HSI	T1	side	0.4506
T1-ddT.166	HSI	T1	side	0.5332
T1-ddT.167	HSI	T1	side	0.4378
T1-ddT.168	HSI	T1	side	0.5154
T1-ddT.169	HSI	T1	side	0.4356
T1-ddT.170	HSI	T1	side	0.392
T1-ddT.171	HSI	T1	side	0.3616
T1-ddT.172	HSI	T1	side	0.3796
T1-ddT.173	HSI	T1	side	0.526
T1-ddT.174	HSI	T1	side	0.4218
T1-ddT.175	HSI	T1	side	0.4592
T1-ddT.176	HSI	T1	side	0.3964
T1-ddT.177	HSI	T1	side	0.3634
T1-ddT.178	HSI	T1	side	0.3928
T1-ddT.179	HSI	T1	side	0.479
T1-ddT.180	HSI	T1	side	0.4918
T1-ddT.181	HSI	T1	side	0.56
T1-ddT.182	HSI	T1	side	0.4088
T1-ddT.183	HSI	T1	side	0.4612
T1-ddT.184	HSI	T1	side	0.3932
T1-ddT.185	HSI	T1	side	0.4492
T1-ddT.186	HSI	T1	side	0.5058
T1-ddT.187	HSI	T1	side	0.4354
T1-ddT.188	HSI	T1	side	0.4666
T1-ddT.189	HSI	T1	side	0.5158
T1-ddT.190	HSI	T1	side	0.3388
